sentence,label
Zu den möglichen Nebenwirkungen von Traubensilberkerze gehören zum Beispiel: Allergien Magen-Darm-Beschwerden Schwellungen im Gesicht Sie möchten Traubensilberkerze länger als sechs Monate nehmen?,1
Eine entscheidende Kennzahl der Coronapandemie weist einen erstaunlichen Wert auf.,0
Mikro-Organismen entstehen zum Beispiel: Wenn Sie falsche Geräte oder falsches Material benutzen.,1
Der Test ist anonym.,1
Die Droge heißt Kokain und ich habe viele Uhren.,1
Die Bauweise wird als Spannbetonbauweise bezeichnet.,0
Dazu gehören zum Beispiel: Kleinkinder ältere Menschen Raucher Menschen mit Durchblutungsstörungen Menschen mit Diabetes stark erschöpfte Menschen unterernährte Menschen Alkohol kann das Risiko eines Kälteschadens erhöhen.,1
Sie mÃ¼ssen sich nicht an die Ãffnungs-Zeiten halten.,1
Jüngere Menschen erkranken nur in Ausnahmefällen an Hautkarzinomen wie Blasenkrebs.,0
Das war eine Warnmeldung aufgrund einer Bombendrohung.,0
Zu viel Paracetamol kann die Leber schädigen.,1
Er beginnt bereits in der Vorschulzeit.,0
Dann akkumuliert sich Gallensaft in der Gallenblase.,0
Von dieser Vergrößerung sind oft Frauen betroffen.,1
Legen Sie eine Rettungsfolie oder ein Tragepolster unter die Person.,0
Oder fallen Sie uns eines Tages spontan besuchend ein.,0
"Wenn Sie nicht eingebürgert werden können, wird der Antrag abgelehnt.",1
– Anmerkung der Redaktion: Die Rechtschreibung des Originals haben wir nicht verändert.,1
"Das bedeutet: Ein Portraitfotografie, auf der Ihr Gesicht ein unauffälliges Aussehen hat.",0
Gemeinsam mehr als 500.000 Euro jährlich erzielt haben.,0
"Einige Winzer in Zscheiplitz beabsichtigen, einen speziellen Weintyp zu produzieren.",0
Die Zeit ist reif von Malte Kreutzfeldt. Die Lockerungspläne von Bund und Ländern wirken auf den ersten Blick bemerkenswert provokant.,0
Möchten Sie nicht schwanger werden?,1
Kurkuma kann auch bei Arthrose helfen.,1
Meistens aber bis 16 Uhr.,1
Ein Präparat reduziert das Risiko einer Übertragung von Erkrankungen.,0
Das wird wahrscheinlich eine Weile so bleiben.,1
taz gewinnt Otto-Brenner-Preis Auszeichnung für die taz-Recherche „Hitlergruß im Reichstag“ zu Rechtsextremen im Bundestag.,1
"November ermöglicht den Nutzern der Möglichkeit, ihre Gutscheine einzulösen.",0
Dazu gehören zum Beispiel: Brennen in der Scheide Jucken in der Scheide weißer Ausfluss Ausschlag um die Scheide unangenehmer Geruch im Intimbereich Schmerzen beim Sex Normalerweise ist der Pilz in der Scheide.,1
Dabei haben sie spannende Sachen entdeckt.,1
Sie tragen das Gerät über Nacht.,1
Viele Menschen bemerken Bluthochdruck jedoch erst spät.,1
"Wir bitten Sie, einen von uns unterstützen Browser zu verwenden: Firefox, Microsoft Edge oder Google Chrome.",0
Ein Schreiben an ein Amt unterliegt bestimmten Formalitäten und Vorgaben.,0
Die Chefs von VW sagen: Sie sind überrascht von dem Brief.,1
"Das Grundbuch ist ein Verzeichnis, das alle grundlegenden Abschnitten und alle Besitzer enthält. Ihr Name wird im Grundbuch aufgeführt, wenn Sie eine Eigentumswohnung erwerben.",0
"Dann wird behauptet, dass man innenliegende Getreidebestandteile meint.",0
Sie denken: Vielleicht habe ich ein Geschwür im Magen?,1
Aber eine Nasennebenhöhlen-Entzündung kann auch chronisch werden.,1
Die Hunde-Marke muß von dem Hund außerhalb hinreichend erkennbar getragen werden.,0
Sie können auch ein Paarregisterbeantragung stellen.,0
Die Reparatur des alten Elektrogearsets hat 120 Euro gezahlt: Danach erhält das Volk 60 Euro von Sachsen-Anhalt zugesprochen.,0
• Das Wohn-Heim für Flüchtlinge in der Stadt Markranstädt.,1
"Omikron und Infektionsschutz: Der Gesundheitsminister Lauterbach warnt vor Leichtsinn im Hinblick auf die Omikron-Welle, insbesondere bei ungesunden Senioren.",0
"Je älter die Menschen sind, desto höher ist der Anteil von Behinderungen.",0
Das war das Konzepts von Lisa Maria Baier.,0
Das bedeutet: sie wurden operiert um keine Kinder mehr bekommen zu können.,1
Und eine Bundestagswahl ist im Land Brandenburg angesetzt.,0
"September 2021, 14:49 Uhr Die Stadt Magdeburg ist im Bundes-Land Sachsen-Anhalt.",1
Ein persönliches Gespräch kann häufig eine effektivere Kommunikation bewirken.,0
Kann man diese Antikörper zum Stillstand der Erreger bringen?,0
Hier können Sie diese Nachricht auch in schwerer Sprache lesen Der Bundestag hat Olaf Scholz zum Bundeskanzler gewählt.,1
Dieser Antrag heißt Betreuungs-Verfügung .,1
Die Corona-Regeln für Gaststätten und Hotels in Sachsen sind ab sofort wie folgt geltend: Bis 22:00 Uhr sind Gaststätten geöffnet.,0
MDR.DE Service Barrierefreiheit Nachrichten in leichter Sprache Neuer Bereich SACHSEN Der Zoo in Dresden bekommt Geld von der Stadt Hauptinhalt 14.,1
Durch den Bruch sind Nerven verletzt.,1
Nun steht das Gesetz erneut zur Debatte.,1
"Die Verlust-Erklärung kostet zusätzlich 2,50 Euro .",1
"Anna ist dann auch mitzukommen, wenn sie zweimal geimpft und geboosternt ist.",0
Sie erkennen Anzeichen eines Gerstenkorns an sich?,0
Dann ziehen Sie den Gegenstand nicht selbst aus der Wunde.,1
Die Kosten für die Trauorte variieren beträchtlich in Höhe.,0
Oft haben betroffene Personen auch Atemnot.,1
Das bedeutet: Die Wehrpflicht gibt es erstmal nicht mehr.,1
"Die auftrumpelnden Elemente – Holzbläser, dissonante Streicherpassagen und Instrumentalstimmen aus dem Orchestergrab – erinnern an vertraute akustische Einrichtungen.",0
Dann rühren Sie die Flüssigkeit gut um.,1
Er hat ausgesprochen: Die Krankenhausmitarbeiter betreiben einen enormen Arbeitsumfang.,0
Dort wurde eineWindgeschwindigkeit von elf auf dem Beobachtungspunkt ermittelt.,0
"Oktober 2021, 15:17 Uhr Sonntag-Nacht kam ein junger Autofahrer zu zwei Verkehrsunfällen.",0
"Wenn beide Eltern gemeinsam das Kind betreuen und ihre berufliche Tätigkeit reduziert haben, then receive a Partnership Bonus.",0
"Die Ausschussbesetzungen richten sich nach dem jeweiligen Wahlergebnis der Parteien, so dass jeder Abgeordnete in zwei Ausschüsse (…) von seiner Fraktion delegiert wird.",1
Der Menschen litt unter keiner eindeutigen Krankheitserscheinung.,0
Wenn jemand das Kind im Ausland adoptiert hat.,1
Die Beschwerden erheben sich jedoch meist bald wieder.,0
Die Kranken-Versicherung: Sie gibt es seit 1883.,1
Wenn Sie uns eine E-Mail schicken.,1
Online kann man das Formular elektronisch ausfüllen.,0
MDR.DE Service Barrierefreiheit Nachrichten in leichter Sprache Neuer Bereich Sachsen Für barriere-freies Wohnen gibt das Bundes-Land Sachsen jetzt wieder Förder-Gelder Hauptinhalt 01.,1
"Anna vergibt oder überträgt ein Testamentsvollstreckerrecht, der das Sterbenehebuch für sie sammelt.",0
März werden sich alle Kreditoren der Molkerei in Gera zusammenfinden.,0
Es existieren diverse Kategorien von FFP-Masken.,0
Ist die Entzündung stärker?,1
Schwellung im Gesicht oder am Hals.,1
Dass muss für lange Zeit so sein.,1
• Und mit wem diese kranken Menschen Kontakt hatten.,1
Es gibt zurzeit eine themenbezogene Sonderausstellung.,0
Die Belehrung hat eine Dauer von etwa 40 Minuten.,0
Den Info-Schalter finden Sie im Gebäude 56 .,1
Dann rufen Sie sofort den Notruf.,1
Das sind eineinhalb Millionen Euro mehr als ursprünglich veranschlagt.,1
Insbesondere aufgrund der stetig verbesserten antenatalen Diagnostik.,0
Eine lange Zeit war es im Theater so: Dass die Menschen nicht zu nahe neben-einander sitzen durften.,1
Das Formular können Sie am Computer ausfüllen .,1
Sie können zum Beispiel die Medikamentenschachtel den Behälter oder ein Blatt von der Pflanze mitnehmen Sie haben den Notruf angerufen?,1
Und Sie glauben: Die Verhütung hat nicht gewirkt?,1
MDR.DE Service Barrierefreiheit Nachrichten in leichter Sprache Neuer Bereich Sachsen Eine alte Eisenbahn-Brücke soll zur Dschungel-Brücke werden Hauptinhalt 16.,1
Sie können auf öffentlichen Barriere-freien Parkflächen abstellen.,0
"Wenn der Verdachtsmoment sich erhärten lässt, erfordern die Ermittlungen oft den Tod vieler Tiere.",0
"Über uns Beratung und Förderung Wohnen Freizeit und Kunst Treffpunkt Leichte Sprache Spenden, Helfen, Mitmachen Kontakt Inhalt Impressum Schriftgröße: Informationen Hier finden Sie unsere Faltblätter, die Zeitung sowie Programme.",0
"Die Verantwortung setzt sich jedoch fort, ab der Stelle, an der das Wasser die öffentlichen Wasserversorgungsleitungen erreicht.",0
"Bitte wenden Sie sich an die Führerschein-Schule, um zu erfragen, wo sie das Augenmerk-Testverfahren durchführen können.",0
"Menschen mit psychischen Erkrankungen sind in der Regel fähig und motiviert, zu arbeiten.",0
Hier können Sie diese Nachricht auch in schwerer Sprache lesen Das erste Thüringer Jazz-Camp für Nachwuchstalente in Sondershausen ist am Wochenende aufgrund eines positiven Coronatests vorzeitig abgebrochen worden.,1
Sie hören plötzlich nicht mehr gut?,1
"Um eine Zulassung für Ihr Kraftfahrzeug zu erhalten, müssen Sie zum Kunden-Zentrum in der Innenstadt und dann zur Zulassungsstelle für KFZ-Poll gehen.",0
Eine gutartige Prostata-Vergrößerung bezeichnet eine benigne Prostatathyreose.,0
Dann sollten Sie mindestens eine Stunde vor Einnahme eines anderen Arzneimittels warten.,0
Dort ist der Inzidenz-Wert bei 52.,1
Neuer Abschnitt im Programm des MDR Fernsehens wird montags um 11:08 Uhr ausgestrahlt.,0
Drucken Sie bitte die ErklÃ¤rung zum Neben-Wohnsitz und das Formular zum Anmelden von Ihrem 2.,1
Oder er injiziert den Medikament-Wirkstoff in ein Muskelgewebe am Oberarme.,0
Und welche Behörde kooperiert ist.,0
Die Beschwerden normalisieren sich regelmäßig innerhalb von drei bis sieben Tagen.,0
Bei einer Kehlkopf-Entzündung entzündet sich die Schleimhaut im Kehlkopf.,1
"Das Gericht in Leipzig hat darüber hinaus festgelegt, dass der Mann nach Vollendung seiner Haftstrafe in eine Maßregel der Erzwingenen Maßregeln der Erziehung aufgenommen wird.",0
Zum Beispiel: Zu großen Veranstaltungen gehen.,1
Für die Mängel im öffentlichen Nahverkehr werden Ihnen Strafpunkte gutgeschrieben.,0
Mehr Informationen über Thrombose finden Sie hier .,1
Sind Sie an weiteren Informationen zu Migrän-Apps interessiert?,0
Aber bei dem Ski-Gebiet muss vieles neu gemacht werden.,1
Sie müssen die erforderliche Dokumentation zum Kunden-Zentrum bringen.,0
eine stark wechselnde Körpertemperatur.,1
Mal: Dass ein Geld-Automat in Sachsen-Anhalt gesprengt wurde.,1
Sie sind hochansteckend.,1
Das war ein Modell-Projekt .,1
Deswegen könnten Sie eventuell injiziert werden.,0
Die Infrastrukturskosten für den Erweiterungsbau einer Autobahn haben sich erhöht.,0
Deshalb kann eine Schleimbeutel-Entzündung auch bei anderen Körperteilen auftreten.,0
Demokratie bedeutet die von den Menschen ausgeübte Herrschaft.,0
Erziehungs-Beitrag Sie bekommen Geld für die Pflege.,1
"Individuen, die keine eigenständige Verpflegung vornehmen können.",0
"Es gibt Länder, in denen man neben den erforderlichen Urkunden lediglich eine Familienstandsbescheinigung benötigt.",0
Das Ummelden selbst ist kostenfrei.,0
Sie können sich durch Sex anstecken.,1
Dann wird ein Außen-Gerstenkorn konstituiert.,0
Schufa ist die Abkürzung für: Schutz-Gemeinschaft für allgemeine Kredit-Sicherung.,1
"Über uns Beratung und Förderung Wohnen Freizeit und Kunst Treffpunkt Leichte Sprache Spenden, Helfen, Mitmachen Kontakt Inhalt Impressum Hier finden Sie diverse Informationen über diese Internet-Seite.",0
Hier können Sie diese Nachricht auch in schwerer Sprache lesen Sachsen Im Dresdner Stadtteil Loschwitz hat sich am Montagmorgen ein Unfall mit einem Bus und einem Pkw ereignet.,1
"Deshalb ist es notwendig, dass Sie sich selbst und Dritte vor Schäden oder Beeinträchtigungen schützen.",0
Vielleicht könnte die Angelegenheit durch Vermittlung von Experten erfolgreich gelöst werden.,0
Der Autofahrer ist auf der Autobahn A4 von Dresden nach Görlitz gefahren.,1
Oft entdeckt der Arzt die Fettleber zufällig.,1
Die Nuckelflasche ist als Trinkgefäß für Kinder konzipiert und zur Verwendung bestimmt.,0
Anna hat sich vermutlich vergiftet.,0
"Die Bundesregierung ist sich derartiger Herausforderungen gewahr und handelt hierauf ein, indem sie die dringenden Maßnahmen ergreift.",0
In der Nachricht steht: Dass Ihre Papiere gefunden wurden.,1
"Wenn Sie Ihren Neben-Wohnsitz erfolgreich angemeldet haben, mÃ¼ssen Sie aber eine Steuer fÃ¼r die 2.",1
Die Farbe kann man am Mobilgerät konfigurieren.,0
Dann werden Sie diese Person zu einem wärmeren Standort überführen.,0
"Wenn Sie persönlich kein Gespräch führen möchten, kann ein geeigneter Vertrauter eingeschaltet werden.",0
Wichtig ist: die Anzahl der Personen in Ihrem Haushalt und Ihre Einkommens-Grenze .,1
MDR.DE Service Barrierefreiheit Nachrichten in leichter Sprache Neuer Bereich Sachsen Viele Menschen sind gegen Böller an Silvester Hauptinhalt 02.,1
Das kostet auch viel Geld.,1
Sie haben oft Stress ?,1
Was sind die Ursachen von Ischias-Schmerzen?,1
Jetzt besitzt der Wanderweg die Auszeichnung für seine Bemühungen.,0
"Sie können den Führerscheinstellenplatz abholen, wenn Sie das Erreichen des erforderlichen Alters und die Vorlage der notwendigen Unterlagen bewirbt haben.",0
Sie haben zum Beispiel die Synagogen kaputt gemacht.,1
Wearables sind kompakt und intuitiv zu handhaben.,0
"(notice: I kept the sentence structure and word order similar to the original, while using more formal vocabulary)",0
Bei vielen Personen mit Reizdarm-Syndrom ist nicht klar: Ist ein bestimmtes Problem die Ursache des Reizdarm-Syndroms?,1
"Namensänderung Namensänderung durch Angleichungserklärung Namenserklärung nach dem Bundesvertriebenengesetz Negativbescheinigung (Sorgebescheinigung) Alle Ergebnisse zu ""N"" Leider sind keine Daten vorhanden.",1
Denn auch im Internet gibt es Verbrecher.,1
Wir verweisen auf eine Warnung: Bei dieser Medizin werden die meisten unerwünschten Ereignisse angeführt.,0
Die Nagelplatte schützt das Nagelbett.,1
Der Ausschlag geht nach einiger Zeit weg.,1
Ein Patient sollte großen Mengen eines Wirkstoffs oraler Arzneimittel einnehmen?,0
Ich möchte Geld überweisen.,1
Dann entfernen Sie den Stachel vorsichtig.,1
Dafür liegen viele plausible Ursachen vor.,0
Rütteln Sie dann vorsichtig an der Schulter.,1
Und es gibt Eis aus einer Pflanze.,1
Ab Sonnabend trat in diesem Gebiet die 3G-Regel in Kraft.,0
Mehr Informationen über den Fersensporn erhalten Sie hier .,0
"Man erkennt einen Herzinfarkt an symptomatischen Anzeichen wie einer plötzlichen und heftigen Brustschmerz, der sich oft in das linke oder rechte Brustareol verbreitet, möglicherweise begleitet von Schütteln, Zittern oder Schwitzen.",0
"Dort finden sich Ausstellungsgesamtveranstaltungen, Filmbeschauerungen, Lesevorträge, Musikdarbietungen und Gesprächsereignisse.",0
Wichtiger Hinweis: Auf dem Ausweis muss ein physisches Porträt der Person enthalten sein.,0
Kleiben Sie ein Pflaster auf die Wunde.,0
Und lesen Sie bitte die Anweisungen zum Medikament hinsichtlich der Dosierung und möglichen Nebenwirkungen.,0
Meist bemerken Sie die Wirkung erst nach einigen Tagen oder Wochen.,1
Eisbehälter können eine Hautfrostbrandverletzung auf der Haut hervorrufen.,0
Hier können Sie diese Nachricht auch in schwerer Sprache lesen: Sachsen In einem Fernbus auf der A13 hat ein 53-Jähriger am Sonnabend Reizgas versprüht.,1
Rufen Sie Ihren Hausearzt auf.,0
"Dazu gehören zum Beispiel: Physikalische Therapiemaßnahmen zur Behandlung von Bewegungsstörungen, Ergotherapie- und Beckenbodentraining, Psychotherapie sowie Medikamente. Mit diesen Maßnahmen soll die Entstehung langfristiger Folgen verhinderet werden.",0
Eine Thrombose muss unverzüglich medizinisch versorgt werden.,0
Wie kann man seine Wohnung kindersicher gestalten?,0
• Und wie die Polizei etwas gegen die Straftaten machen kann.,1
Das hat verschiedene Gründe: 1.,1
"Widerspruch gegen Weitergabe von Meldedaten Alle Ergebnisse zu ""W"" Leider sind keine Daten vorhanden.",1
Die Hämorriden sind hypertrophiert.,0
"Vielleicht intendiert jemand, dass ein Schwindler das gleiche Vermögen mehrfach abzuziehen versucht.",0
"Wer ist versichert, d. h. wer hat eine Versicherung?",0
Telefonnummer 0221-22900.,0
Die Wirkung hält dann zwischen vier und sechs Stunden an.,1
Dann sollten Sie lieber ein normales Blutdruck-Messgerät benutzen.,1
"E-Mail Passwort meistkommentiert Faszination Autobahnblockade Alle Räder stehen still Eine Handvoll Menschen reicht, um eine Autobahn zu blockieren und Aufmerksamkeit zu erregen.",1
"Beispielsweise kann man bei Stress- oder Konfliktgefühlen bei seinem Partner oder Ehepartner eine offene Kommunikation suchen, um mögliche Missverständnisse zu klären und einen Weg zur Lösung gemeinsam zu finden.",0
"Wir ermutigen Sie, einen von unseren empfohlenen Browsern zu nutzen: Firefox, Microsoft Edge oder Google Chrome. Dieses Informationsblatt informiert über das Thema Migräne: Was ist Migräne?",0
Und ein maligner Neoplasma breitet sich auf andere Organsysteme aus.,0
Mehr Informationen über Kurzsichtigkeit finden Sie hier .,1
Die neuen Preise gelten ab dem 1.,1
Dann kann der Knochen brechen.,1
Die Krankenkassen übernehmen die Kosten für die Kinder.,0
Es kann immer etwas passieren.,1
Sie können die Person nicht in ein wärmendes Umfeld umziehen.,0
Wir erstrahlen in Paris wie die Fußball-Elite.,0
Er wurde aber nicht be-achtet.,1
"Achtung: Es wird empfohlen, nicht übermäßig Ibuprofen einzunehmen.",0
Alle Menschen sind an Wertigkeit gleiche.,0
Dann werden dabei kleine Speichel-Tropfen aus dem Mund geschleudert.,1
Wichtig: Beide Eltern müssen den Antrag unterschreiben .,1
Manchmal offenbart Apple diese Informationen Dritten.,0
Die Ausstellung ist im Schloss Augustusburg.,0
Der Busfahrer hat den Bus dann auf dem Seiten-Streifen von der Autobahn angehalten.,1
Deshalb muss ein Arzt die erforderliche Menge präzise festlegen.,0
Die Gallenblase kann sich entzünden.,0
Die betroffene Person hat keine Beschwerden.,1
Ein Gallenstein im Gallengang verursacht die Gallenblasenentzündung?,1
• Warum der Mensch sie ermordete.,0
Die Gesamtzahl der insgesamt gemeldeten Todesfälle steigt auf 117.666 an.,0
Baris Kul machte einen der 1.,1
Das ist in der Silvester-Nacht passiert.,1
"Wenn Sie aus dem Ausland zuziehen Wenn Sie aus dem Ausland nach Köln ziehen, müssen Sie uns auch diese Papiere zeigen: Ihren Pass von dem Land, aus dem Sie kommen.",1
In der Silvester-Nacht sind die Mitarbeiter dann auch in der Nähe von den Tieren: Damit sie die Tiere schnell beruhigen können.,1
So sind die Lebensmittel länger haltbar → Die Langhaltbarkeit von Lebensmitteln wird durch bestimmte Maßnahmen erreicht.,0
Und Ihre Corona-Erkrankung ist höchstens drei Monate her?,1
Wie kann man einen Hörsturz erkennen?,1
Sie können eine Person auch ablehnen .,1
Peter Krause ist der Chef von der Hochwasser-Zentrale in der Stadt Jena.,1
Trotzdem gibt es mögliche Anzeichen für Brustkrebs.,1
"Das bedeutet: Die Lebensbedingungen sind unzureichend, sodass sie nicht mehr ausreichend ernähren kann.",0
Ein Trennriss im Knieschienbein bedarf einer adäquaten medizinischen Behandlung.,0
In jedem Winter strömen viele Touristen in diesen Ort ein.,0
Waschen Sie sich deshalb immer gründlich die Hände.,1
Warum hat der zweite Teil den gleichen Namen wie die heutige Firma?,0
"Wenn Sie eine Verpflichtungs-Erklärung abgeben, können Ihre Gäste durch sie nachweisen, dass für ihre Ankunft in Deutschland ein sicheres Auskommen gesichert ist.",0
Wo kann ich neue Papiere beantragen?,1
Aber Ängste können auch eine Erkrankung sein.,0
Die Rocker-Gruppe aus Erfurt bekommt jetzt mehr Respekt von den Hells Angels auf der ganzen Welt.,1
Der Schneedeckung war in einigen Abschnitten etwa 12 Zentimeter Mächtigkeit anzusehen.,0
Der obere Fersensporn ist von geringerer Häufigkeit.,0
"Text: Holger Fröhlich Wir suchen dich als Manager*in Communication Controlling & Digital Analytics bei #Ottocomms, um die Unternehmenskommunikation von Otto auf allen Kanälen wirkungsvoller, zielgruppenaffin und mit dem passenden Content auftreten zu lassen.",1
"September 2021, 13:41 Uhr In Sachsen-Anhalt setzt die Zug-Gesellschaft Abellio eine Vielzahl von Zügen in Betrieb.",0
Das kann ein gesundheitsrelevantes Risiko darstellen.,0
"Beim Darmspiegelungsverfahren überprüft der Arzt, ob ein Tumor im Dünndarm vorliegt.",0
Er ist der Landtags-Präsident von Sachsen-Anhalt.,1
"Unsere Adresse ist: Verwaltungsdienst Hilfe zur Pflege, Ottmar-Pohl-Platz 1, 51103 Köln. Fügen Sie den Antrag bitte aus.",0
Und viele Menschen sind sehr wütend darüber.,1
"Sie erhalten im Gespräch auch Auskunft darüber, ob eine weitere medizinische Untersuchung erforderlich ist.",0
Auch einen Zwiebel-Markt für Kinder wird es in diesem Jahr wieder geben.,1
Wo kann ich mehr erfahren?,1
Diese Personengruppe erfüllt ein erhöhtes Risiko für eine vergrößerte Hämorrhoidenschädigung.,0
"Dazu gehören zum Beispiel: Kopfregionen, Handrücken und Fußsohlen. Was können Sie bei Krätzen tun?",0
Dort haben sie gefälschte Papiere an viele Menschen verkauft.,1
Oder wenn Sie Ihren alten Fahrzeugbrief in Umtausch bringen.,0
"Er hat sich verpflichtet, Deutschlands Schutz zu garantieren.",0
Hier sind die Kölner Stadtteile.,0
Dort wurden besondere Spiele im Sportbereich ausgetragen.,0
Das Unternehmen ist verantwortlich für das Trink-Wasser in Köln.,1
Am unteren Ende der Speiseröhre befindet sich ein Schlussmuskeln.,0
Migräne ist eine häufige Erkrankung.,1
Wahrscheinlich wird ein erneuter Lockdown voraussichtlich in Kürze notwendig sein.,0
Viele Feuerwehr-Leute waren dort: Um das Feuer zu löschen Und sie wollten verhindern : Dass die Bäume neben der Fabrik auch anfangen zu brennen.,1
Ein Comic ist eine Geschichte mit vielen bunten Bildern.,1
So kann der Arzt Sie rechtzeitig behandeln.,1
Eine Bronchitis kann auch chronisch verlaufen.,0
Sie hat über einen großen Fahrrad-Wettbewerb geschrieben.,1
"(Aktuellere Version: Eine Makula-Degeneration führt zu einer Störung der Sehschärfe und eines dunklen Netzes in der peripheren Sicht, was die Wahrnehmung beeinträchtigt.)",0
Bei einer kolonoskopischen Exploration wird ein Katheter in das Rectum des Patienten eingelegt.,0
"Unsere neutral platzierte Plattform ermöglicht kleinen Turnier-Organisatoren, ihre Esports-Statistiken auszutauschen und zu monetarisieren. Außerdem plant das Unternehmen, weitere Unternehmen zu unterstützen.",0
So können die Menschen schnell eine Diagnose bekommen.,1
Gehen Sie beispielsweise zu Fuß oder per öffentlichen Nahverkehr periodisch für eine Erholung auf einem Weg.,0
• Umwelt und Natur sind von großer Wichtigkeit für die Zukunft unseres Planeten.,0
Kann ich einen neuen Betreuer oder eine Betreuerin bekommen?,1
Zum Beispiel: Man bezahlt seine Rechnungen früher.,1
"Die Bundesregierung plant, den Pendlerlohn zu erhöhen.",0
Durch das Zittern arbeiten die Muskeln und Wärme entsteht.,1
Es existieren auch Programme während pädagogischer Freizeiten.,0
Seit der Umstellung am 1.,0
Kontonummer.,0
Ein Mensch hatte bereits Windpocken? Einige Menschen hatten bereits Windpocken.,0
"2025 12:50 Uhr 01:43 min Link des Audios Rechte: MITTELDEUTSCHER RUNDFUNK Damit die Menschen den Zwinger weiter besuchen können, müssen immer wieder Sachen neu gemacht werden.",1
"(Note: I've rewritten the sentence to have a more formal tone and use more precise language, while keeping the same meaning and length.)",0
Das kostet keine Kosten.,0
Über dieses Thema berichtet der MDR auch in schwerer Sprache: MDR AKTUELL RADIO | 08.,1
Der Klumpen kann die Blutgefäße verstopfen.,0
"November 2021, 16:38 Uhr In Deutschland gab es vor einigen Jahren die rechts-extreme Terror-Gruppe : NSU .",1
"Typische Auslöser von einer Lebensmittel-Infektion sind beispielsweise bakterielle Erreger wie Campylobaktierien, Salmonellen und Listerien. Darüber hinaus können auch Viren, wie Hepatitis-Viren, Noro-Viren und Rota-Viren eine Lebensmittel-Erkrankung auslösen. Eine Lebensmittel-Erkrankung kann durch Symptome wie Durchfall, Erbrechen, Fieber oder Blutverlust erkennbar sein.",0
Ein Schub kann einige Tage in Anspruch nehmen.,0
Ein Ministerium von Thüringen soll jetzt noch einmal die Studie prüfen.,1
"Darinen finden sich Informationen darüber, wie Sie Ausweise für Kinder beantragen können.",0
Man fühlt sich schwindelig.,1
Die Behörden reagieren auf den enormen personellen Mangel bei der Nachverfolgung von Kontakten.,0
Wir sagen Ihnen gerne: Was Sie mit dem neuen Personal-Ausweis alles machen können.,1
Nasenspray gegen Schnupfen Bei einem Schnupfen können betroffene Personen nur schwer durch die Nase atmen.,1
Wissenschaftler haben einen potenziellen Impfstoff identifiziert.,0
"Eine Vollmacht ist ein Dokument, das die Erweckung von Autoritätsgewalt an einen anderen überträgt.",0
Dann nehmen Sie den Ingwer nach vier Stunden erneut ein.,1
Dann müssen sie sich eine andere Arbeit suchen.,1
Was können Sie bei einer Phobie tun? Kann man sich gegen seine Ängste aufbauen und diese durch rationale Überlegungen und positive Erinnerung überwinden.,0
"Wenn Sie Fragen dazu haben, rufen Sie uns an: Familien- Büro Telefon: 02 21 - 22 13 03 00 Muss ich zum Vormerken persönlich vorbei kommen?",1
