sentence,label
Die Begleitung soll das Straf-Verfahren für verletzte Personen einfacher machen.,1
Sie können sich freiwillig eine Begleitung nehmen.,1
Sie kann schon vor der Anzeige beginnen.,1
Sie ist im des ganzen Verfahren dabei.,1
Was tut eine psycho-soziale Prozess-Begleitung?,1
Die psycho-soziale Prozess-Begleitung informiert: Sie erklärt für das Straf-Verfahren zum Beispiel: Welche Rechte und Pflichten haben Verletzte?,1
Welche Personen sind im Straf-Prozess dabei?,1
Welche Aufgabe haben diese Personen?,1
Die psycho-soziale Prozess-Begleitung plant: Sie hilft bei der Vorbereitung zum Verfahren: Wann und wo ist die Vernehmung?,1
Wie kommen Sie zum Gericht?,1
Und wie kommen Sie in das Gericht?,1
Und wie kommen Sie danach wieder zurück?,1
Brauchen Sie eine Betreuung für Ihre Kinder?,1
Die psycho-soziale Prozess-Begleitung begleitet: Sie kommt mit ins Gericht oder zur Polizei.,1
Sie ist bei Wartezeiten oder Pausen dabei.,1
Sie sitzt bei einer Aussage neben Ihnen.,1
Sie steht nach der Aussage zur Verfügung.,1
Und sie kann nach der Verhandlung mit Ihnen darüber sprechen.,1
Sie erklärt Ihnen das Ergebnis vom Gerichts-Verfahren.,1
Dann verstehen Sie es vielleicht besser.,1
Die psycho-soziale Prozess-Begleitung kennt viele Hilfs-Angebote: Sie brauchen noch andere Unterstützungs-Angebote oder Beratungs-Angebote?,1
Dann kann die Prozess-Begleitung diese empfehlen.,1
Für wen ist die psycho-soziale Prozess-Begleitung?,1
Alle verletzten Personen haben das Recht auf eine Begleitung im Straf-Verfahren.,1
Für diese Personen ist die psycho-soziale Prozess-Begleitung kostenfrei: Kinder und Jugendliche als Verletzte bei Sexual-Straftaten.,1
Und als Verletzte von Gewalt-Straftaten Vielleicht sind Menschen bei einer Straftat gestorben.,1
Dann bekommen die Angehörigen vom Opfer kostenlose Begleitung.,1
Begleitung ist oft kostenlos für Verletzte bei: besonders schweren Sexual-Straftaten oder besonders schweren Gewalt-Straftaten.,1
Kostenfreie Prozess-Begleitung gibt es auch für: Das Justiz-Ministerium in Schleswig-Holstein zahlt zusätzlich kostenfreie Prozess-Begleitung für Verletzte nach häuslicher Gewalt.,1
Das ist Gewalt in der eigenen Wohnung.,1
Opfer von Stalking.,1
Stalking bedeutet: Jemand verfolgt oder bedroht eine Person.,1
besondere Einzel-Fälle.,1
Dann prüft das Ministerium besonders: muss die Begleitung kostenfrei sein?,1
Manchmal für Angehörige von Verletzten.,1
Wie finde ich eine psycho-soziale Prozess-Begleitung?,1
Dafür gibt es mehrere Möglichkeiten: Sie zeigen eine Straftat bei der Polizei an?,1
Dabei können Sie die Prozess-Begleitung beantragen.,1
Die Polizei leitet den Antrag weiter.,1
Ein Anwalt oder eine Anwältin vertritt Sie?,1
Diese können einen Antrag an das Gericht oder die Staats-Anwaltschaft schreiben.,1
Dafür muss man kein Formular benutzen.,1
Sie dürfen den Antrag auch selbst schreiben.,1
Sie können sich auch bei einer psycho-sozialen Prozess-Begleitung melden.,1
Die Begleitung gibt es an vielen Orten im Land.,1
Adressen dazu sind bei den Kontakt-Daten.,1
Das sollten Sie auch wissen: Die Psycho-soziale Prozess-begleitung hat Schweigepflicht.,1
Sie darf anderen Personen nichts von Gesprächen mit Ihnen erzählen.,1
Sie spricht mit dem Gericht nicht über die Tat.,1
Sie spricht dort auch nicht über die Aussagen.,1
Die psycho-soziale Prozess-begleitung muss vor Gericht zu einigen Themen etwas sagen.,1
"Sie spricht über Fragen, Ängste und Sorgen.",1
Die psycho-soziale Prozess-Begleitung macht keine Rechts-Beratung.,1
Sie bietet auch keine Therapie an.,1
Die Prozess-Begleitung kennt gute Dolmetscher für Gespräche.,1
Mehr Infos können Sie bei Fachstellen für psycho-soziale Prozess-Begleitung erfragen: Dieses Info-Blatt ist vom Ministerium für Justiz und Gesundheit Schleswig-Holstein.,1
Die Adresse ist: Lorentzendamm 35 24103 Kiel Die Landesregierung gibt es auch im Internet: Internetseite vom Land Schleswig-Holstein Das Info-Blatt ist eine Info von der Landesregierung Schleswig-Holstein.,1
Niemand darf dies Info-Blatt für Wahl-Werbung nutzen.,1
"Das gilt für Personen, Parteien und andere Gruppen.",1
Das Info-Blatt darf man nie so nutzen: Das Info-Blatt darf nicht für eine politische Gruppe werben.,1
Parteien dürfen das Blatt nur zur Information ihrer Mitglieder nutzen.,1
"Der Text in Leichter Sprache ist vom Institut für Leichte Sprache, Texter André Delor Kehdenstraße 2-10 24103 Kiel Den Text haben Barbara Larsow, Roswitha Hennig und Rüdiger Benkendorf geprüft.",1
Städte-Partnerschaften Eckernfördes Städte-Partnerschaft bedeutet: 2 Städte sind miteinander befreundet.,1
Die Menschen aus den Städten lernen sich kennen.,1
Vertreter von den Städten treffen sich regelmäßig.,1
Eckernförde hat schon lange Kontakt zu anderen Städten.,1
Die ersten Partner-Städte waren in Europa.,1
Eckernförde wollte mehr von anderen Städten wissen.,1
Unter anderem über die Kultur in anderen Städten.,1
Kultur ist zum Beispiel Kunst oder Theater.,1
Und Eckernförde wollte politische Verbindungen.,1
Zum Beispiel um von den Partner-Städten zu lernen.,1
Diese Verbindungen sollten Verständnis fördern.,1
Damit sich die Menschen aus den Orten besser kennen.,1
Das sollte auch den Frieden fördern.,1
In den Vereinten Nationen arbeiten 200 Länder zusammen.,1
Das kurze Wort für Vereinte Nationen ist UNO.,1
Die Vereinten Nationen haben Eckernförde einen besonderen Titel gegeben.,1
Das war am 14.,1
Mai 1986.,1
Seitdem darf Eckernförde sich auch UNO-Stadt nennen.,1
Das ist wegen der Städte-Partnerschaften.,1
Dies sind die Partner-Städte von Eckernförde.,1
Für mehr Infos zu den Partner-Städten klicken Sie auf das Wappen von der Stadt.,1
Die Informationen zur Partnerstadt sind nicht in Leichter Sprache.,1
Macclesfield Das ist eine Stadt im Land England.,1
England ist ein Land in Europa.,1
Macclesfield war Partner-Stadt vom Jahr 1953 bis zum Jahr 2010.,1
Hässleholm Das ist eine Stadt im Staat Schweden.,1
Schweden ist ein Land in Europa Hässleholm ist Partner-Stadt seit dem Jahr 1958.,1
Tanga Das ist eine Stadt im Staat Tansania.,1
Tansania ist ein Land in Afrika.,1
Tanga ist Partner-Stadt seit dem Jahr 1963.,1
Nakskov Das ist eine Stadt im Staat Dänemark.,1
Dänemark ist ein Land in Europa.,1
Nakskov ist Partner-Stadt seit dem Jahr 1969.,1
Brzeg Das ist eine Stadt im Staat Polen.,1
Polen ist ein Land in Europa.,1
Die Stadt Brzeg hieß früher auch Brieg.,1
Brzeg ist Partner-Stadt seit dem Jahr 1989 Bützow Das ist eine Stadt im Bundesland Mecklenburg-Vorpommern.,1
Mecklenburg-Vorpommern ist ein Teil von Deutschland.,1
Bützow ist Partner-Stadt seit dem Jahr 1990.,1
Die Verwaltung von Eckernförde hat im Juni 2016 einen Bericht geschrieben.,1
Der Bericht ist über die Städte-Partnerschaften.,1
Der Bericht ist nicht in Leichter Sprache.,1
Berühmte Eckernförder Personen Die Stadt Eckernförde hat eine lange Geschichte.,1
In dieser Geschichte gab es viele wichtige Personen.,1
Dieter Schütz hat kurze Texte über diese Personen geschrieben.,1
Die Stadt Eckernförde bedankt sich dafür bei ihm.,1
Christian Otte Christian Otte lebte vor langer Zeit.,1
Er lebte vor über 300 Jahren.,1
Er wurde im Jahr 1674 geboren.,1
Christian Otte war ein wichtiger Kauf-Mann.,1
Christian Otte gehörten auch viele Schiffe.,1
Darum war sein Beruf auch Reeder.,1
Das Wort Reeder spricht man so aus: rehder Schon mit 25 Jahren besaß er ein eigenes Schiff.,1
Er handelte in Eckernförde.,1
Er brachte mit seinen Schiffen Waren in viele Länder.,1
Und er holte viele verschiedene Waren von dort.,1
Seine Schiffe fuhren auf dem großen Meer Atlantik.,1
Sie fuhren auch im Mittelmeer.,1
Und sie fuhren bis in die Karibik.,1
Karibik sind Inseln in der Nähe von Amerika.,1
Ihm gehörten als Reeder viele und große Schiffe.,1
Im Alter von 31 Jahren war er reich.,1
Er war auch ein angesehener Bürger.,1
1723 baute er ein Lagerhaus in Eckernförde.,1
Christian Otte gründete eine Kaufmanns-Familie.,1
Er war zweimal verheiratet.,1
Seine erste Frau war Margret Claussen.,1
Sie starb als sie noch nicht sehr alt war.,1
Zwei Jahre nach ihrem Tod heiratete Christian Otte nochmal.,1
Diese 2.,1
Frau hieß Elsabe Claussen.,1
Christian Otte hatte insgesamt 16 Kinder aus beiden Ehen.,1
Christian Otte starb im Jahr 1747.,1
Friedrich Wilhelm Otte Ein Sohn von Christian Otte hieß Friedrich Wilhelm Otte.,1
Friedrich Wilhelm Otte war wichtig für Eckernförde.,1
Er war Bürgermeister von Eckernförde.,1
Und Friedrich Wilhelm leitete nach seinem Vater die Firma Otte.,1
Friedrich Wilhelm Otte gründete auch eine Fayence-Fabrik.,1
Fayence spricht man so aus: Fa-jonße.,1
Fayence ist eine Art von Porzellan.,1
Diese Fabrik gibt es schon lange nicht mehr.,1
Christian Otte und Friedrich Wilhelm Otte waren mutige Kauf-Leute.,1
Familie Bruyn Die Familie Bruyn waren Enkel von Christian Otte.,1
Nach Friedrich Wilhelm Otte leitete die Familie Bruyn die Reederei Otte weiter.,1
Die Stiftung Im Jahr 1739 gab Christian Otte etwas von seinem Geld ab.,1
Er wollte Menschen helfen.,1
Er gab Geld für ein Haus für Arme und Alte Menschen.,1
Das heißt auch: Er gründete mit dem Geld eine Stiftung.,1
Die Stiftung heißt Otte'sche Armen-Stiftung.,1
Diese Stiftung gibt es noch heute.,1
Der Graf von Saint Germain Das Geburts-Datum von Saint Germain ist unbekannt.,1
Er starb am 27.,1
Februar 1784 in Eckernförde.,1
Den Namen spricht man so aus: Sänn Jermäh Saint Germain hatte viele Berufe.,1
Er war Abenteurer und Geheim-Agent.,1
Saint Germain war auch Okkultist.,1
Okkultisten glauben an übernatürliche Dinge.,1
Zum Beispiel an Geister oder schwarze Magie.,1
Er war auch Mitglied in geheimen Gruppen.,1
Eine dieser Gruppen hieß Freimaurer.,1
Die Mitglieder in den Gruppen waren oft Okkultisten.,1
Saint Germain war auch Komponist.,1
Komponisten schreiben neue Musikstücke.,1
Saint Germain kannte viele wichtige Personen.,1
Und viele berühmte Personen kannten ihn.,1
Es gibt viele Geschichten über Saint Germain.,1
Einige hat er selbst erzählt.,1
Viele von den Geschichten sind vielleicht nicht wahr.,1
Saint Germain war auch Alchemist.,1
Der Graf von Saint Germain wurde ein Freund von Karl von Hessen-Kassel.,1
Das war vor ungefähr 250 Jahren.,1
Karl von Hessen-Kassel war der Vertreter des dänischen Königs in Schleswig.,1
Er und Saint Germain fanden beide Alchemie gut.,1
Alchemisten wollen Material in wertvolles Material umwandeln.,1
Zum Beispiel Eisen in Gold.,1
Karl von Hessen-Kassel baue für Saint Germain ein Alchemisten-Labor.,1
Das Labor war im Alchemisten-Turm in Louisenlund.,1
Louisenlund war ein großer Gutshof.,1
Louisenlund ist in der Nähe von Eckernförde.,1
Den Turm gibt es dort heute nicht mehr.,1
In Eckernförde gründeten Karl von Hessen-Kassel und Saint-Germain eine Fabrik.,1
Das war eine Seiden-Färberei.,1
Seide wurde in anderen Ländern gekauft.,1
In Eckernförde sollte die Seide gefärbt werden.,1
Saint Germain ist in Eckernförde gestorben.,1
Das war vor langer Zeit.,1
Sein Grab war in der Sankt-Nicolai-Kirche.,1
Heute kennt niemand den genauen Platz vom Grab.,1
Saint Germain heute in Eckernförde Die Musik-Gruppe Ensemble PHOENIX spielt heute noch Musik vom Graf von Saint Germain.,1
Ensemble Phoenix ist aus Eckernförde.,1
Die Gruppe spielt seine Musik in Konzerten und auf CDs.,1
Das Museum Eckernförde hat wichtige Dokumente über das Leben vom Graf von Saint Germain.,1
Diese alten Dokumente sind nicht in Leichter Sprache.,1
Doktor Wilhelm Lehmann Wilhelm Lehmann wurde im Jahr 1882 in Venezuela geboren.,1
Venezuela ist ein Staat in Süd-Amerika.,1
Wilhelm Lehmann lebte in den Jahren 1923 bis 1968 in Eckernförde.,1
Lehmann hat zuerst Romane geschrieben.,1
Romane sind lange Geschichten.,1
Seit ungefähr dem Jahr1930 schrieb er Gedichte.,1
Er hat Gedichte in deutscher Sprache geschrieben.,1
Vor ungefähr 70 Jahren war er ein bekannter Dichter.,1
Er hat viele Gedichte und ähnliche Texte geschrieben.,1
Wilhelm Lehmann hat viele Preise für Gedichte bekommen.,1
Er war kein Arzt.,1
Aber er hat den Titel Doktor bekommen.,1
Denn er wusste sehr viel über Texte und Schreiben.,1
Viele andere Schriftsteller lernten von seinen Gedichten.,1
Er war Mitglied von wichtigen Gruppen von Schriftstellern.,1
Im Jahr 2009 wurden Wilhelm Lehmanns Texte nochmal gedruckt.,1
Die Texte sind nicht in Leichter Sprache.,1
Die Wilhelm-Lehmann-Gesellschaft wurde im Jahr 2004 gegründet.,1
Sie will seine Texte wieder bekannter machen.,1
Die Wilhelm-Lehmann-Gesellschaft und die Stadt Eckernförde verleihen den Wilhelm-Lehmann-Preis.,1
Dieser Preis ist für besonders gute Gedichte oder andere kurze Texte.,1
Hans Gudewerdt der Jüngere Hans Gudewerdt wurde vor über 400 Jahren geboren.,1
Der Vater hieß auch Hans Gudewerdt.,1
Man muss die Hans Gudewerdt aus Eckernförde unterscheiden.,1
Darum heißt der Sohn Hans Gudewerdt auch der Jüngere.,1
Oder auch Hans Gudewerdt der 2.,1
Das schreibt man oft auch Hans Gudewerdt II.,1
Hans Gudewerdt der Jüngere war ein Schnitzer.,1
Der Vater war Tischler und Holzschnitzer in Eckernförde.,1
Hans Gudewerdt der Jüngere lernte lesen und schreiben.,1
Damals durften nur wenige Kinder zur Schule.,1
Hans Guderwerdt der Jüngere lernte auch das Handwerk als Bild-Schnitzer.,1
Er lernte in der Werkstatt seines Vaters.,1
Die Ausbildung dauerte 5 Jahre.,1
Hans Gudewertdt der Jüngere wurde Schnittker-Meister in Eckernförde.,1
Schnittker sind Kunst-Schnitzer oder Tischler.,1
Hans Gudewerdt 2.,1
war reich und gut angesehen.,1
Er starb im Jahr 1671 in Eckernförde.,1
Das war vor ungefähr 350 Jahren.,1
Hans Gudewerdt der Jüngere hat viel als Künstler gearbeitet.,1
Er hat Figuren und Bilder aus Holz geschnitzt.,1
Er war in ganz Nord-Deutschland berühmt.,1
Hans Gudewerdt der Jüngere hat zum Beispiel für Herzog Friedrich den 3.,1
von Schleswig-Holstein-Gottorf gearbeitet.,1
Der Herzog herrschte über wichtige Teile von Schleswig-Holstein.,1
Hans Gudewerdt der Jüngere hat auch große Altäre für Kirchen gebaut.,1
Dabei hat er viele und schöne Figuren geschnitzt.,1
Zum Beispiel für die Kirche in Eckernförde und Kappeln und Schönkirchen und Dänischenhagen.,1
"Lorenz von Stein, Lorenz von Stein wurde am 15.",1
November 1815 geboren.,1
Das war vor ungefähr 200 Jahren.,1
Der Geburtsort war Borby.,1
Borby ist heute ein Teil von Eckernförde.,1
Lorenz von Stein studierte in Kiel und Jena.,1
Im Jahr 1846 wurde er Professor in Kiel.,1
Im Jahr 1855 ging er dann an die Universität Wien.,1
Er war Lehrer für Staatsrecht.,1
Staatsrecht sind Regeln über den Aufbau vom Staat.,1
Zum Beispiel zu Wahlen oder Gerichten.,1
Lorenz von Stein war auch Soziologe.,1
Soziologen wollen erforschen: wie leben Menschen zusammen.,1
Und Lorenz von Stein war National-Ökonom.,1
Ökonomie bedeutet Wirtschaft.,1
Zum Beispiel kaufen und verkaufen.,1
National-Ökonomen forschen über die Wirtschaft von Staaten.,1
Die Ideen von Lorenz von Stein waren für viele Staaten wichtig.,1
Zum Beispiel für Japan.,1
Und die Ideen sind auch noch im Grundgesetz von Deutschland.,1
Lorenz von Stein bekam viele Orden.,1
Und er wurde oft geehrt.,1
Er starb am 23.,1
September 1890 in Hadersdorf-Weidlingau.,1
Das ist ein Ort in der Nähe von Wien.,1
Marine-Standort Eckernförde In Eckernförde gibt es schon lange Marine-Soldaten.,1
Marine-Soldaten arbeiten zum Beispiel auf Kriegs-Schiffen.,1
Diese Soldaten leben auch in Eckernförde.,1
Besondere Häuser für Soldaten heißen auch Kasernen.,1
Mehrere Kasernen an einem Ort heißen auch Garnison.,1
Bei einer Garnison gibt es auch zivile Beschäftigte.,1
Zivile Beschäftigte sind keine Soldaten.,1
Sie sind zum Beispiel Elektriker oder Hausmeister.,1
Zivile Beschäftigte unterstützen die Soldaten.,1
In der Garnison in Eckernförde sind Marine Soldaten und zivile Beschäftigte Die Garnison gibt es schon lange.,1
Die Garnison gehört zur Bundeswehr.,1
1 von 3 berufstätigen Menschen in Eckernförde arbeitet für die Bundeswehr.,1
Das sind sogenannte Bundes-Familien.,1
In Eckernförde gibt es viele Marine-Einheiten.,1
Marine Einheiten können Schiffe sein.,1
Oder bestimmte Gruppen von Marine-Soldaten.,1
Diese Gruppen haben dann besondere Aufgaben.,1
"Marine Einheiten in Eckernförde sind zum Beispiel: das Uboot-Geschwader, das Ausbildungs-Zentrum für Uboote, das See-Bataillon Bataillon spricht man so: Battaljon und das Kommando der Spezial-Kräfte.",1
Im See-Bataillon und im Kommando Spezial-Kräfte sind Soldaten mit besonderer Ausbildung.,1
Es gibt auch die Wehrtechnische Dienststelle 71 .,1
Diese Dienststelle testet Waffen unter Wasser.,1
Die Bundeswehr ist ein sehr großer Arbeitgeber in Eckernförde.,1
Das Bundesministerium für Verteidigung entscheidet über Garnisonen von der Bundeswehr.,1
Das Bundesministerium hat in der Vergangenheit gesagt: Viele Soldaten sollen nicht mehr in Eckernförde arbeiten.,1
Das galt auch für und zivile Beschäftigte.,1
Das war schwer für die Stadt.,1
Viele Menschen haben den Arbeitsplatz verloren.,1
Die Landesregierung von Schleswig-Holstein wollte helfen.,1
Sie hat die Stadt unterstützt.,1
Auch die Stadt Eckernförde hat etwas versucht.,1
Sie wollte neue Arbeitsplätze zu schaffen.,1
Im Norden von Eckernförde liegt ein großes Kasernen-Gelände.,1
Das Kasernen-Gelände heißt Carlshöhe.,1
Dort sind aber keine Soldaten mehr.,1
Das Gelände ist jetzt privat.,1
Das Bundesministerium für Verteidigung hat seine Meinung geändert.,1
Seit 2011 gibt es keine Kürzungen mehr in Eckernförde.,1
Das Bundesministerium für Verteidigung hat entschieden: Wir wollen die Marine-Garnison bis zum Jahr 2020 reparieren.,1
Und wir wollen auch neu bauen.,1
Es soll wieder mehr Marine-Soldaten und zivile Beschäftigte in Eckernförde geben.,1
Stadt-Leitbild Ein Arbeitskreis hat das Stadt-Leitbild erarbeitet.,1
Ein Arbeitskreis ist eine besondere Gruppe.,1
Die Mitglieder im Arbeitskreis sammeln Ideen zu einem Thema.,1
Das Stadt-Leitbild beschreibt wichtige Ideen für Eckernförde.,1
Im Arbeitskreis Stadt-Leitbild haben verschiedene Menschen mitgemacht.,1
Der Arbeitskreis Stadt-Leitbild hat über viele Themen geredet.,1
Er hat aufgeschrieben wie es jetzt in Eckernförde ist.,1
Er hat auch Ideen und Pläne für die Zukunft gemacht.,1
Das sind Ergebnisse zum Stadt-Leitbild Das Stadt-Leitbild hilft bei Ideen für das Stadt-Marketing von Eckernförde.,1
Das Stadt-Marketing beschreibt: So ist Eckernförde Das ist für uns wichtig So will Eckernförde sein.,1
Das Motto von Eckernförde ist: Ostseebad Eckernförde – Lebensfreude wie Sand am Meer!,1
Zu diesem Motto gibt es für Eckernförde 7 wichtige Grund-Sätze: Eckernförde plant für die Zukunft von der Stadt.,1
Das ist dabei wichtig: Eckernförde liegt am Meer und ist einmalig.,1
Eckernförde schützt und verbessert Natur und Umwelt.,1
Eckernförde freut sich auf seine Gäste.,1
Eckernförde bietet ganz besondere Kultur.,1
Eckernförde ist gut für Körper und Seele.,1
"Eckernförde ist freundlich, lebendig und interessant.",1
Das gilt auch für Firmen und Arbeits-Plätze.,1
Eckernförde kann man gut erreichen.,1
Das Stadt-Leitbild wurde besprochen.,1
Bewohner von Eckernförde konnten dabei mitmachen.,1
Viele fanden das Leitbild gut.,1
Auch der Handels- und Verkehrs-Verein fand es gut.,1
Auch die Rats-Versammlung von Eckernförde fand es gut.,1
Bau-Leitplanung Was ist Bau-Leitplanung?,1
Die Bau-Leitplanung bestimmt zum Beispiel: So werden Grundstücke in einer Gemeinde genutzt.,1
Zum Beispiel Wohnen oder Fabriken oder Erholung.,1
Was sind Bau-Leitpläne Bau-Leitpläne zeigen: So können Flächen in einer Gemeinde genutzt werden.,1
Es gibt zwei Arten von Bau-Leitplänen: Flächen-Nutzungs-Plan Das können Sie im Flächen-Nutzungs-Plan sehen: Das darf auf einer Fläche sein.,1
Zum Beispiel Wiesen oder wohnen oder Firmen.,1
Bebauungs-Plan Das können Sie im Bebauungs-Plan sehen: Wie man auf der Fläche bauen darf.,1
Zum Beispiel wie hoch ein Haus gebaut werden darf.,1
Eckernförde macht diese Pläne für sein Gebiet selbst.,1
Es gibt Regeln für diese Pläne.,1
Und wie Gemeinden die Pläne machen müssen.,1
Die Regeln dafür stehen im Bau-Gesetzbuch.,1
Eine Behörde muss den Flächennutzungs-Plan genehmigen.,1
Diese Behörde ist nicht in Eckernförde.,1
Sie ist die vorgesetzte Behörde für Eckernförde.,1
Rechtliche Grundlagen Die Regeln für die Bau-Leitplanung stehen hier: im Bau-Gesetzbuch und in der Bau-Nutzungs-Verordnung.,1
Sie wollen etwas bauen?,1
Dann müssen Sie viele Regeln beachten.,1
Das sind Voraussetzungen für Bau-Vorhaben.,1
Dafür stehen Regeln in Gesetzen oder Verordnungen oder Satzungen.,1
Viele von diesen Regeln gelten für ganz Deutschland.,1
Diese Regeln heißen zusammen öffentliches Bau-Recht.,1
Es gibt auch Regeln für einzelne Bundes-Länder.,1
Zum Beispiel für Schleswig-Holstein.,1
Die Regeln für ein Bundes-Land heißen Bau-Ordnungs-Recht.,1
Ein Beispiel dafür ist die Landes-Bauordnung Schleswig-Holstein.,1
In Städten oder Gemeinden gibt es Orts-Satzungen.,1
Zum Beispiel für Eckernförde.,1
Bundesgesetze Wichtige Gesetzes-Texte zum Thema Stadt-Planung und Stadt-Entwicklung finden Sie auf diesen Internet-Seiten: Landesportal Bauleitplanung.,1
